system   D            wsystem.c:585  maybe_parent_dir                 [   0.00316] Also searching C:\Users\Ryan\Documents\Visual Studio 2010\Projects\RandomGame\
display  D   display_settings.c:377  _al_score_display_settings       [   0.06765] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06767] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06769] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06771] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06773] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06775] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06777] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06779] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06781] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06783] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06785] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06787] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06789] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06793] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06795] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06797] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06799] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06803] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06805] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06807] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06809] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06811] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06813] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06815] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06817] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06819] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06821] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06823] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06825] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06827] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06829] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06831] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06833] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06835] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06836] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06841] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06843] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06846] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06847] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06849] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06851] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06853] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06855] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06857] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06859] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06861] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06863] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06865] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06866] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06869] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06870] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06872] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06874] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06876] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06878] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06880] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06882] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06884] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06886] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06888] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06889] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06892] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.06893] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06895] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06897] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06899] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06901] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06903] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06905] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06907] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06909] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06913] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06915] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06917] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06919] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06921] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06923] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06925] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06927] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06929] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06931] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06933] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06935] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06936] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06939] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06940] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06942] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06946] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06948] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06950] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06952] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06954] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06956] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06958] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06960] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06962] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06964] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06966] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06968] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06970] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06972] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06974] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06976] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06978] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06980] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06982] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06984] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06986] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1644 d3d_create_display_internals     [   0.06990] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.07066] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.07071] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.11124] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.14036] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.14044] Success
d3d      D         d3d_disp.cpp:1667 d3d_create_display_internals     [   0.14057] Resumed after wait.
d3d      I         d3d_disp.cpp:1700 d3d_create_display_internals     [   0.14063] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1723 d3d_create_display_internals     [   0.14067] Returning d3d_display: 00DF3F80
d3d      D         d3d_disp.cpp:1748 d3d_create_display_locked        [   0.14069] al_display=00DF3F80
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.14070] al_display->vt=00DF3EB8
font     D                ttf.c:792  al_load_ttf_font_stretch_f       [   0.14497] Font arial.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:794  al_load_ttf_font_stretch_f       [   0.14503]     ascent=16.0, descent=-4.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.14506] added dtor for object 00DFDEE0, func 52581B68
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15064] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15071] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15072] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15074] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15076] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15077] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15079] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15081] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.15083] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.15085] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.15087] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.15089] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.15091] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.15115] added dtor for object 058A52D0, func 525825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.15933] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.15947] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.16608] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.16615] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16708] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16711] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16713] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16715] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16717] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16718] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16720] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16722] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.16723] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.16725] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.16727] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.16729] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.16730] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.16817] added dtor for object 00DFF0B0, func 525825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.17513] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.17522] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20010] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20014] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20016] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20018] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20020] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20021] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20023] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20025] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.20026] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.20028] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.20030] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.20032] Found a format
